task,family,variant,base,mutation_target,model,trial,name,requirement_id,requirement_type,evidence,example_id,passed,note
configweave_base,configweave,base,true,R4,glm-5.2,1,E1_public_import,R1,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E1_layer_order,R2,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E1_recursive_merge,R3,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E1_end_to_end,D1,done_when,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E2_list_policy,R4,rule,visible,E2,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E3_null_deletion,R5,rule,visible,E3,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E4_deep_immutability,R6,rule,visible,E4,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E5_invalid_structure,R7,rule,visible,E5,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E5_type_error,X1,error,visible,E5,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,E6_stdlib_dependencies,C1,constraint,visible,E6,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_public_symbol,R1,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_empty_and_order,R2,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_recursive_type_changes,R3,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_unhashable_lists,R4,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_nested_deletion,R5,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_no_shared_containers,R6,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_recursive_key_validation,R7,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_full_smoke,D1,done_when,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_stdlib_only,C1,constraint,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,1,hidden_error_atomicity,X1,error,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E1_public_import,R1,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E1_layer_order,R2,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E1_recursive_merge,R3,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E1_end_to_end,D1,done_when,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E2_list_policy,R4,rule,visible,E2,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E3_null_deletion,R5,rule,visible,E3,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E4_deep_immutability,R6,rule,visible,E4,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E5_invalid_structure,R7,rule,visible,E5,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E5_type_error,X1,error,visible,E5,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,E6_stdlib_dependencies,C1,constraint,visible,E6,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_public_symbol,R1,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_empty_and_order,R2,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_recursive_type_changes,R3,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_unhashable_lists,R4,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_nested_deletion,R5,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_no_shared_containers,R6,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_recursive_key_validation,R7,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_full_smoke,D1,done_when,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_stdlib_only,C1,constraint,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,2,hidden_error_atomicity,X1,error,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E1_public_import,R1,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E1_layer_order,R2,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E1_recursive_merge,R3,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E1_end_to_end,D1,done_when,visible,E1,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E2_list_policy,R4,rule,visible,E2,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E3_null_deletion,R5,rule,visible,E3,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E4_deep_immutability,R6,rule,visible,E4,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E5_invalid_structure,R7,rule,visible,E5,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E5_type_error,X1,error,visible,E5,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,E6_stdlib_dependencies,C1,constraint,visible,E6,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_public_symbol,R1,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_empty_and_order,R2,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_recursive_type_changes,R3,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_unhashable_lists,R4,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_nested_deletion,R5,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_no_shared_containers,R6,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_recursive_key_validation,R7,rule,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_full_smoke,D1,done_when,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_stdlib_only,C1,constraint,hidden,,true,
configweave_base,configweave,base,true,R4,glm-5.2,3,hidden_error_atomicity,X1,error,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E1_public_import,R1,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E1_layer_order,R2,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E1_recursive_merge,R3,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E1_end_to_end,D1,done_when,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E2_list_policy,R4,rule,visible,E2,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E3_null_deletion,R5,rule,visible,E3,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E4_deep_immutability,R6,rule,visible,E4,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E5_invalid_structure,R7,rule,visible,E5,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E5_type_error,X1,error,visible,E5,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,E6_stdlib_dependencies,C1,constraint,visible,E6,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_public_symbol,R1,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_empty_and_order,R2,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_recursive_type_changes,R3,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_unhashable_lists,R4,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_nested_deletion,R5,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_no_shared_containers,R6,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_recursive_key_validation,R7,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_full_smoke,D1,done_when,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_stdlib_only,C1,constraint,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,1,hidden_error_atomicity,X1,error,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E1_public_import,R1,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E1_layer_order,R2,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E1_recursive_merge,R3,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E1_end_to_end,D1,done_when,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E2_list_policy,R4,rule,visible,E2,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E3_null_deletion,R5,rule,visible,E3,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E4_deep_immutability,R6,rule,visible,E4,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E5_invalid_structure,R7,rule,visible,E5,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E5_type_error,X1,error,visible,E5,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,E6_stdlib_dependencies,C1,constraint,visible,E6,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_public_symbol,R1,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_empty_and_order,R2,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_recursive_type_changes,R3,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_unhashable_lists,R4,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_nested_deletion,R5,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_no_shared_containers,R6,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_recursive_key_validation,R7,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_full_smoke,D1,done_when,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_stdlib_only,C1,constraint,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,2,hidden_error_atomicity,X1,error,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E1_public_import,R1,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E1_layer_order,R2,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E1_recursive_merge,R3,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E1_end_to_end,D1,done_when,visible,E1,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E2_list_policy,R4,rule,visible,E2,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E3_null_deletion,R5,rule,visible,E3,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E4_deep_immutability,R6,rule,visible,E4,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E5_invalid_structure,R7,rule,visible,E5,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E5_type_error,X1,error,visible,E5,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,E6_stdlib_dependencies,C1,constraint,visible,E6,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_public_symbol,R1,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_empty_and_order,R2,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_recursive_type_changes,R3,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_unhashable_lists,R4,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_nested_deletion,R5,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_no_shared_containers,R6,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_recursive_key_validation,R7,rule,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_full_smoke,D1,done_when,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_stdlib_only,C1,constraint,hidden,,true,
configweave_base,configweave,base,true,R4,minimax-m3,3,hidden_error_atomicity,X1,error,hidden,,true,
configweave_base,configweave,base,true,R4,qwen3.7-max,1,E1_public_import,R1,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,qwen3.7-max,1,E1_layer_order,R2,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,qwen3.7-max,1,E1_recursive_merge,R3,rule,visible,E1,true,
configweave_base,configweave,base,true,R4,qwen3.7-max,1,E1_end_to_end,D1,done_when,visible,E1,true,
